('Kuramon', 'Baby', 'Free', 'Neutral', '2', '0', '590', '77', '79', '69', '68', '95')
('Leopardmon LM', 'Mega', 'Data', 'Earth', '25', '3', '1290', '153', '159', '129', '139', '218')
('Dorugoramon', 'Mega', 'Data', 'Dark', '18', '2', '1640', '91', '225', '134', '88', '145')
('Neptunemon', 'Mega', 'Vaccine', 'Water', '20', '2', '1440', '137', '158', '130', '173', '139')
('HiAndromon', 'Mega', 'Vaccine', 'Electric', '18', '3', '1190', '114', '153', '178', '138', '124')
('PileVolcamon', 'Mega', 'Data', 'Fire', '18', '2', '1330', '109', '173', '163', '111', '137')
('Barbamon', 'Mega', 'Virus', 'Dark', '22', '2', '1330', '184', '84', '129', '233', '133')
('BanchoLeomon', 'Mega', 'Vaccine', 'Earth', '18', '3', '1630', '84', '193', '188', '80', '138')
('Piedmon', 'Mega', 'Virus', 'Dark', '18', '3', '890', '178', '129', '104', '183', '163')
('Puppetmon', 'Mega', 'Virus', 'Plant', '18', '3', '1140', '114', '163', '163', '148', '124')
('PlatinumNumemon', 'Mega', 'Virus', 'Neutral', '16', '3', '450', '132', '99', '999', '50', '144')
('BlackWarGreymon', 'Mega', 'Virus', 'Fire', '20', '2', '1730', '93', '183', '178', '89', '140')
('PrinceMamemon', 'Mega', 'Data', 'Neutral', '16', '3', '1630', '137', '104', '173', '109', '130')
('Breakdramon', 'Mega', 'Virus', 'Earth', '20', '2', '1880', '89', '213', '168', '94', '129')
('Plesiomon', 'Mega', 'Data', 'Water', '18', '3', '1680', '153', '74', '114', '188', '129')
('HerculesKabuterimon', 'Mega', 'Vaccine', 'Plant', '18', '3', '1680', '128', '114', '168', '124', '124')
('Beelzemon', 'Mega', 'Virus', 'Dark', '22', '1', '1680', '114', '228', '119', '99', '168')
('Beelzemon BM', 'Mega', 'Virus', 'Dark', '25', '2', '1680', '114', '238', '124', '104', '178')
('Belphemon SM', 'Mega', 'Virus', 'Dark', '22', '1', '1730', '178', '89', '114', '203', '139')
('Hououmon', 'Mega', 'Vaccine', 'Fire', '18', '3', '1390', '173', '84', '99', '193', '158')
('Magnadramon', 'Mega', 'Vaccine', 'Light', '20', '2', '1880', '168', '89', '124', '183', '129')
('Boltmon', 'Mega', 'Data', 'Electric', '18', '3', '1580', '83', '198', '163', '84', '140')
('MagnaGarurumon', 'Mega', 'Free', 'Light', '18', '3', '1480', '122', '175', '104', '114', '183')
('MagnaGarurumon (SV)', 'Mega', 'Free', 'Light', '18', '3', '1020', '138', '163', '107', '119', '218')
('Mastemon', 'Mega', 'Vaccine', 'Neutral', '22', '1', '1340', '144', '173', '134', '173', '149')
('MarineAngemon', 'Mega', 'Vaccine', 'Water', '18', '3', '1190', '198', '64', '89', '203', '153')
('Minervamon', 'Mega', 'Virus', 'Neutral', '20', '3', '1580', '114', '208', '114', '119', '168')
('MirageGaogamon', 'Mega', 'Data', 'Wind', '18', '3', '1480', '114', '183', '114', '109', '178')
('MirageGaogamon BM', 'Mega', 'Data', 'Light', '20', '3', '1440', '124', '178', '104', '158', '174')
('Machinedramon', 'Mega', 'Virus', 'Electric', '18', '3', '1240', '114', '173', '183', '128', '124')
('Megidramon', 'Mega', 'Virus', 'Fire', '20', '2', '1690', '120', '199', '132', '109', '153')
('MetalEtemon', 'Mega', 'Virus', 'Earth', '18', '3', '1630', '128', '134', '188', '89', '124')
('MetalGarurumon', 'Mega', 'Data', 'Water', '18', '3', '1140', '143', '154', '129', '129', '178')
('MetalGarurumon (Blk)', 'Mega', 'Virus', 'Electric', '18', '3', '1190', '128', '163', '173', '133', '130')
('MetalSeadramon', 'Mega', 'Data', 'Water', '18', '3', '1430', '148', '99', '139', '168', '129')
('Merukimon', 'Mega', 'Virus', 'Wind', '20', '2', '1320', '115', '178', '138', '141', '177')
('RustTyranomon', 'Mega', 'Virus', 'Electric', '18', '3', '1680', '83', '218', '163', '74', '140')
('Leviamon', 'Mega', 'Virus', 'Water', '22', '1', '1730', '120', '168', '158', '144', '133')
('Lilithmon', 'Mega', 'Virus', 'Dark', '22', '2', '940', '203', '99', '104', '223', '173')
('Ravemon', 'Mega', 'Vaccine', 'Wind', '18', '3', '1040', '143', '139', '119', '139', '203')
('Ravemon BM', 'Mega', 'Vaccine', 'Wind', '20', '2', '1040', '133', '149', '139', '144', '213')
('Crusadermon', 'Mega', 'Virus', 'Dark', '22', '2', '1240', '153', '144', '139', '144', '193')
('Rosemon', 'Mega', 'Data', 'Plant', '18', '3', '1330', '147', '144', '129', '149', '144')
('Rosemon BM', 'Mega', 'Data', 'Plant', '20', '3', '1480', '143', '149', '139', '159', '143')
('Lotosmon', 'Mega', 'Data', 'Plant', '18', '3', '940', '188', '74', '109', '213', '168')
('Armageddemon', 'Ultra', 'Free', 'Dark', '25', '1', '1760', '114', '255', '133', '84', '164')
('Arcadiamon Ultra', 'Ultra', 'Virus', 'Dark', '25', '2', '1510', '158', '204', '109', '134', '170')
('Alphamon Ouryuken', 'Ultra', 'Vaccine', 'Neutral', '25', '1', '1530', '133', '179', '149', '159', '153')
('Imperialdramon PM', 'Ultra', 'Vaccine', 'Light', '25', '2', '1530', '158', '154', '154', '154', '153')
('Examon', 'Ultra', 'Data', 'Wind', '25', '2', '1730', '148', '179', '139', '134', '153')
('Omnimon', 'Ultra', 'Vaccine', 'Light', '25', '2', '1680', '104', '208', '168', '134', '144')
('Omnimon Zwart', 'Ultra', 'Vaccine', 'Dark', '25', '2', '1490', '139', '153', '193', '158', '134')
('Chaosmon', 'Ultra', 'Vaccine', 'Neutral', '25', '3', '1080', '129', '318', '94', '89', '188')
('Chaosmon VA', 'Ultra', 'Vaccine', 'Light', '25', '3', '790', '138', '254', '84', '204', '168')
('Susanomon', 'Ultra', 'Vaccine', 'Light', '25', '1', '1630', '129', '183', '158', '149', '149')
('Gallantmon CM', 'Ultra', 'Virus', 'Light', '25', '2', '1480', '139', '203', '124', '139', '173')
('Belphemon RM', 'Ultra', 'Virus', 'Dark', '25', '2', '1780', '84', '247', '168', '109', '140')
('Lucemon SM', 'Ultra', 'Virus', 'Dark', '25', '2', '1490', '173', '89', '124', '233', '158')
('Flamedramon', 'Armor', 'Free', 'Fire', '8', '3', '1130', '93', '119', '99', '89', '138')
('Magnamon', 'Armor', 'Free', 'Earth', '22', '2', '1240', '124', '168', '208', '148', '124')
('Rapidmon (Armor)', 'Armor', 'Vaccine', 'Light', '18', '3', '1140', '114', '158', '178', '158', '124')
('Shoutmon', 'None', 'Free', 'Fire', '5', '1', '1030', '62', '128', '101', '55', '87')
('OmniShoutmon', 'None', 'Free', 'Fire', '20', '2', '1510', '141', '166', '144', '114', '165')
('Ryudamon', 'Rookie', 'Vaccine', 'Neutral', '5', '1', '790', '73', '123', '97', '57', '102')
('Ginryumon', 'Champion', 'Vaccine', 'Neutral', '8', '1', '970', '86', '135', '114', '71', '118')
('Hisyaryumon', 'Ultimate', 'Vaccine', 'Neutral', '14', '1', '1200', '89', '183', '157', '74', '123')
('Ouryumon', 'Mega', 'Vaccine', 'Neutral', '20', '2', '1350', '104', '221', '179', '84', '158')
('Apocalymon', 'Ultra', 'Free', 'Neutral', '25', '1', '1890', '173', '89', '104', '183', '188')
('Sistermon Blanc', 'Rookie', 'Vaccine', 'Light', '4', '1', '880', '105', '53', '72', '116', '82')
('Sistermon B (Awake.)', 'Rookie', 'Vaccine', 'Light', '18', '2', '1310', '175', '72', '112', '191', '165')
('Sistermon Ciel', 'Champion', 'Virus', 'Light', '6', '2', '840', '111', '96', '87', '95', '139')
('Sistermon C (Awake.)', 'Champion', 'Virus', 'Light', '18', '2', '1550', '114', '188', '102', '114', '173')
('Alphamon NX', 'Mega', 'Vaccine', 'Neutral', '6', '1', '980', '104', '109', '114', '109', '116')
('Crusadermon NX', 'Mega', 'Virus', 'Dark', '6', '1', '1030', '100', '118', '99', '109', '121')
('Leopardmon NX', 'Mega', 'Data', 'Light', '6', '1', '960', '109', '112', '91', '116', '126')
('Omnimon NX', 'Mega', 'Vaccine', 'Light', '6', '1', '1010', '98', '116', '111', '111', '113')
('Gallantmon NX', 'Mega', 'Virus', 'Light', '6', '1', '1070', '93', '122', '109', '111', '108')
